Id,Name,Title,Release,Steam Rating,Average Rating,Average Rating Z,Tags
533780,Zombie Defense,"<a href=""https://store.steampowered.com/app/533780/"">Zombie Defense</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/533780/header.jpg"" alt=""Zombie Defense""width=""200px"">",2016,"82% (1,861 reviews)",4.109753687886528,-1.2868571167327818,"Free to Play, Zombies, Tower Defense, Strategy, Survival, Multiplayer"
706220,Black Desert (706220),"<a href=""https://store.steampowered.com/app/706220/"">Black Desert (706220)</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/582660/header.jpg"" alt=""Black Desert (706220)""width=""200px"">",2017,"76% (35,736 reviews)",5.850639958242792,1.0860749998962542,"MMORPG, Massively Multiplayer, RPG, Open World, Character Customization, Adventure"
346330,BrainBread 2,"<a href=""https://store.steampowered.com/app/346330/"">BrainBread 2</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/346330/header.jpg"" alt=""BrainBread 2""width=""200px"">",2016,"71% (4,072 reviews)",3.7738303309279,-1.744740745334115,"Free to Play, Zombies, Multiplayer, FPS, Survival, Action"
57700,Who's That Flying?!,"<a href=""https://store.steampowered.com/app/57700/"">Who&#x27;s That Flying?!</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/57700/header.jpg"" alt=""Who&#x27;s That Flying?!""width=""200px"">",2011,71% (125 reviews),3.559002925201068,-2.0375633491202736,"Action, Indie, Casual, Shoot &#x27;Em Up, Side Scroller"
526920,SQUAKE,"<a href=""https://store.steampowered.com/app/526920/"">SQUAKE</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/526920/header.jpg"" alt=""SQUAKE""width=""200px"">",2017,67% (146 reviews),5.115817416863054,0.08446792299851294,"Racing, Action, Indie, Casual, Sports"
402310,Overfall,"<a href=""https://store.steampowered.com/app/402310/"">Overfall</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/402310/header.jpg"" alt=""Overfall""width=""200px"">",2016,76% (322 reviews),5.029240864644656,-0.033541096202956956,"CRPG, Survival, Roguelite, Procedural Generation, Strategy RPG, Tactical RPG"
342130,Hashtag Dungeon,"<a href=""https://store.steampowered.com/app/342130/"">Hashtag Dungeon</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/342130/header.jpg"" alt=""Hashtag Dungeon""width=""200px"">",2016,58% (34 reviews),4.926939169100988,-0.1729844263473759,"Action, RPG, Indie, Roguelite, Roguelike, Pixel Graphics"
371400,Downpour,"<a href=""https://store.steampowered.com/app/371400/"">Downpour</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/371400/header.jpg"" alt=""Downpour""width=""200px"">",2015,nan,4.9421541116852055,-0.15224554953185182,"Action, Indie, Simulation, Survival, Difficult, Robots"
363270,O3DX,"<a href=""https://store.steampowered.com/app/363270/"">O3DX</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/363270/header.jpg"" alt=""O3DX""width=""200px"">",2016,40% (10 reviews),5.574074875001319,0.7091002488531711,"Indie, Racing, Action, Offroad, Physics, Driving"
985890,Streets of Rage 4,"<a href=""https://store.steampowered.com/app/985890/"">Streets of Rage 4</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/985890/header.jpg"" alt=""Streets of Rage 4""width=""200px"">",2020,"92% (11,341 reviews)",5.550085381236364,0.6764011339334566,"Action, Indie, Beat &#x27;em up, 2D, Fighting, Online Co-Op"
46600,Swarm Arena,"<a href=""https://store.steampowered.com/app/46600/"">Swarm Arena</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/46600/header.jpg"" alt=""Swarm Arena""width=""200px"">",2010,76% (51 reviews),3.204108913266866,-2.521305115172376,"Arena Shooter, Twin Stick Shooter, Bullet Hell, Shoot &#x27;Em Up, Top-Down Shooter, PvP"
838380,DEAD OR ALIVE 6,"<a href=""https://store.steampowered.com/app/838380/"">DEAD OR ALIVE 6</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/838380/header.jpg"" alt=""DEAD OR ALIVE 6""width=""200px"">",2019,"72% (2,968 reviews)",4.194240933282179,-1.1716959477014284,"Fighting, Sexual Content, Action, Nudity, Female Protagonist, Mature"
277590,Assassin's Creed Freedom Cry,"<a href=""https://store.steampowered.com/app/277590/"">Assassin&#x27;s Creed Freedom Cry</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/277590/header.jpg"" alt=""Assassin&#x27;s Creed Freedom Cry""width=""200px"">",2014,"75% (1,555 reviews)",5.599153708924809,0.7432841995672385,"Action, Adventure, Assassin, Open World, Pirates, Stealth"
