User,Game,Rating
user0,224037,7.5
user103,224037,5.0
user1083,224037,10.0
user1085,224037,9.5
user1094,224037,6.0
user111,224037,8.0
user1110,224037,8.0
user1222,224037,6.0
user1229,224037,7.5
user1254,224037,8.0
user1284,224037,7.0
user1294,224037,8.5
user1319,224037,6.0
user1372,224037,8.0
user162,224037,8.0
user165,224037,8.5
user232,224037,8.0
user270,224037,8.0
user271,224037,7.0
user275,224037,6.0
user3,224037,7.0
user305,224037,10.0
user317,224037,9.0
user328,224037,8.0
user35,224037,5.5
user363,224037,7.0
user378,224037,6.5
user383,224037,6.0
user400,224037,7.0
user401,224037,8.5
user402,224037,8.5
user404,224037,8.0
user443,224037,7.0
user448,224037,7.0
user523,224037,8.0
user534,224037,7.0
user539,224037,7.0
user545,224037,8.0
user549,224037,6.0
user609,224037,6.0
user611,224037,9.0
user636,224037,8.25
user644,224037,9.0
user656,224037,7.0
user677,224037,7.0
user707,224037,7.0
user712,224037,8.0
user736,224037,7.1
user749,224037,7.0
user753,224037,8.0
user784,224037,5.0
user83,224037,8.5
user885,224037,5.5
user901,224037,9.0
user914,224037,9.0
user933,224037,9.0
user939,224037,7.5
user940,224037,9.0
user941,224037,6.0
user948,224037,7.0
user96,224037,5.0
user965,224037,9.0
user0,104162,9.0
user1008,104162,6.0
user1020,104162,8.0
user1024,104162,8.0
user1030,104162,8.5
user1067,104162,6.0
user1098,104162,6.0
user1106,104162,7.5
user1110,104162,6.0
user1126,104162,7.8
user1137,104162,7.0
user1160,104162,7.0
user1167,104162,8.0
user1172,104162,8.0
user1178,104162,8.7
user1200,104162,8.0
user1211,104162,8.0
user1218,104162,9.0
user1219,104162,9.0
user1222,104162,5.0
user1226,104162,6.0
user1229,104162,6.0
user1244,104162,6.0
user1253,104162,9.0
user1294,104162,6.5
user13,104162,8.0
user1300,104162,8.0
user1301,104162,8.0
user1308,104162,9.0
user1311,104162,6.0
user1314,104162,7.5
user1315,104162,8.0
user1326,104162,6.0
user1342,104162,8.0
user1350,104162,10.0
user1352,104162,7.0
user1385,104162,6.5
user154,104162,9.0
user174,104162,9.0
user194,104162,7.0
user256,104162,6.25
user265,104162,9.01
